Checkpoint_Penalty, Total time before checkpointing, Checkpoints, Total time after checkpointing
5, 46147.30066389314, 335, 47822.30066389314
10, 46359.732517894656, 232, 48679.732517894656
15, 46631.26754495462, 180, 49331.26754495462
20, 46745.61552314896, 169, 50125.61552314896
25, 46853.8807080949, 164, 50953.8807080949
30, 46840.5159118389, 161, 51670.5159118389
35, 46965.47239666788, 156, 52425.47239666788
40, 46996.473997869056, 152, 53076.473997869056
45, 47123.929838735596, 141, 53468.929838735596
50, 47311.5054999212, 134, 54011.5054999212
55, 47528.006833849446, 124, 54348.006833849446
60, 47688.07461104884, 118, 54768.07461104884
65, 47761.229635251475, 110, 54911.229635251475
70, 47864.24480843305, 102, 55004.24480843305
75, 48176.634356888884, 98, 55526.634356888884
80, 48391.72984556318, 92, 55751.72984556318
85, 48424.412887609054, 88, 55904.412887609054
90, 48849.05309823225, 85, 56499.05309823225
95, 48975.45312756949, 85, 57050.45312756949
100, 49391.732858911855, 81, 57491.732858911855