Checkpoint_penalty, BestStatic Window, Best DynamicMPC, Best Dynamic Window, Best RL
5, 48545.17876125451, 47822.30066389314, 48028.62500927711, 47808.03208580606
10, 49210.17876125451, 48679.732517894656, 49378.179949936086, 48483.03208580606
15, 49875.17876125451, 49331.26754495462, 50867.22212584516, 49158.03208580606
20, 50540.17876125451, 50125.61552314896, 50756.97757746246, 49833.03208580606
25, 51205.17876125451, 50953.8807080949, 52173.989510313084, 50508.03208580606
30, 51870.17876125451, 51670.5159118389, 52936.06276070612, 51183.03208580606
35, 52535.17876125451, 52425.47239666788, 53576.58632564106, 51858.03208580606
40, 53200.17876125451, 53076.473997869056, 54267.32299638725, 52533.03208580606
45, 53865.17876125451, 53468.929838735596, 54758.92503832342, 53208.03208580606
50, 54530.17876125451, 54011.5054999212, 55288.00524008805, 53883.03208580606
55, 55195.17876125451, 54348.006833849446, 55860.269540531976, 54558.03208580606
60, 55860.17876125451, 54768.07461104884, 56384.086281225456, 55233.03208580606
65, 56525.17876125451, 54911.229635251475, 56705.75268818747, 55908.03208580606
70, 57190.17876125451, 55004.24480843305, 57030.11215546189, 56583.03208580606
75, 57855.17876125451, 55526.634356888884, 57537.22756759171, 57258.03208580606
80, 58520.17876125451, 55751.72984556318, 60328.49171100438, 57933.03208580606
85, 59185.17876125451, 55904.412887609054, 60146.93420574814, 58608.03208580606
90, 59850.17876125451, 56499.05309823225, 60761.51944401189, 59283.03208580606
95, 60515.17876125451, 57050.45312756949, 61169.04592315895, 59958.03208580606
100, 61180.17876125451, 57491.732858911855, 60743.70622420616, 60633.03208580606