S.no, Exploration_Fraction, Time taken without checkpointing, Number of Checkpoints, Time take with checkpoints
1, 0.01, 46793.02706685606, 175, 49418.02706685606
2, 0.02, 47165.371628239336, 133, 49160.371628239336
3, 0.03, 47013.9073269907, 164, 49473.9073269907
4, 0.04, 46986.87491360151, 154, 49296.87491360151
5, 0.05, 47042.52746297909, 154, 49352.52746297909
6, 0.06, 46934.428514848776, 156, 49274.428514848776
7, 0.07, 47034.54554411481, 166, 49524.54554411481
8, 0.08, 46458.493250319276, 207, 49563.493250319276
9, 0.09, 46617.39296701219, 171, 49182.39296701219
10, 0.1, 46938.78736588008, 154, 49248.78736588008